schedule,t_on,t_off,ttp_days,ttp_months,S_final,R_total_final,dominant_mech
56on/56off,56,56,486.2001020502352,15.97240808312205,27136727.93940156,480034939.7008555,reversion
28on/28off,28,28,485.2131674033191,15.939985788545306,45833116.60316221,461807173.5382921,reversion
42on/42off,42,42,485.20411864963603,15.939688523312615,36711485.00352511,464233897.44763005,reversion
21on/21off,21,21,484.21990789320193,15.907355712654464,49945311.570447735,454327153.8005214,reversion
14on/14off,14,14,482.21520316445356,15.84149813286641,73137643.94981869,431982915.55039376,reversion
7on/7off,7,7,481.21623136770773,15.808680399727585,78910543.67965098,429555149.49643236,reversion
56on/42off,56,42,479.20105986766055,15.7424789706853,1997647.2676451018,504688062.41302484,reversion
42on/31off,42,31,477.196353238574,15.676621328468263,1391762.8026293018,504645478.8585237,reversion
28on/21off,28,21,476.2143552331415,15.644361210024359,2673043.4664904946,498423538.36824155,reversion
21on/15off,21,15,475.2129047209917,15.611462047338753,2326597.9064779175,506391839.603343,reversion
14on/10off,14,10,473.2182847728843,15.54593576783457,2331048.823386209,504905264.0243347,reversion
42on/21off,42,21,473.19831444095496,15.545279712252134,47912.132767003146,510256045.807905,reversion
56on/28off,56,28,473.193665134738,15.545126975517016,29092.208530324056,512309167.74124205,reversion
28on/14off,28,14,472.2100613381953,15.512814104408518,73941.7637106076,504801934.25587344,reversion
7on/5off,7,5,471.2164612109064,15.480172838728857,2843251.138051897,503273278.89731866,reversion
21on/10off,21,10,471.21377631077934,15.480084635702342,53552.186945866124,509078028.52881896,reversion
14on/7off,14,7,470.2120636804583,15.447176862038708,85135.54077900194,509967714.49756414,reversion
42on/10off,42,10,467.21301571189184,15.34865360420144,274.6387285416808,504377607.1558351,reversion
28on/7off,28,7,467.20886694894335,15.348517311069097,382.59995721617713,510563181.79530704,reversion
56on/14off,56,14,467.19451641279767,15.34804587427062,241.05080572913383,507416638.3588827,reversion
7on/3off,7,3,467.0,15.341655716162943,24409.810355825175,502971021.92255294,reversion
21on/5off,21,5,466.21833471465123,15.315976830310486,303.3365197867756,507827171.77855915,reversion
14on/3off,14,3,465.2138995635206,15.282979617724067,173.95796456529314,510796679.67135507,reversion
continuous,9999,0,458.9888665334413,15.078477875605824,0.1903008682749693,508664795.2261095,reversion
42on/63off,42,63,394.1977927437363,12.949993191318537,497809502.4542974,2260041.4307180466,reversion
56on/84off,56,84,394.194212175165,12.949875564230124,497110298.2579379,3207995.218662364,reversion
21on/31off,21,31,357.202743440493,11.734649915916327,508540854.22430396,604184.338484721,reversion
7on/10off,7,10,357.0,11.727989487516425,506043996.4903455,630290.3042846278,reversion
14on/21off,14,21,344.2075932927683,11.30773959568884,503708915.70871454,353399.3601113686,reversion
28on/42off,28,42,344.1981130223819,11.307428154480352,503523258.4281793,412616.83821011,reversion
56on/112off,56,112,294.19325936535313,9.664693146036567,508605624.9539341,52269.26341283805,reversion
14on/28off,14,28,243.2043277544449,7.989629689699241,501268977.23297834,10640.723218000712,reversion
21on/42off,21,42,243.19847130752856,7.989437296567955,501195240.65327924,10342.988315682842,reversion
28on/56off,28,56,243.19528672194934,7.989332678119229,501155106.1050739,9955.96634502168,reversion
42on/84off,42,84,243.1928170769889,7.989251546550226,501124094.17555636,9131.315932416383,reversion
7on/14off,7,14,231.0,7.588699080157687,506215432.3516823,8296.601453644183,efflux
no_treatment,0,9999,91.98886649882755,3.021973275257147,501080259.4923024,388.3698819185393,efflux
