k,broad_survival_floor,n_bins_used,t_min_years,t_max_years,max_rel_err_vs_exact,median_rel_err_vs_exact
2,0.1,56,0.5,55.5,0.08471233770090497,0.02094244313111872
3,0.1,76,1.5,76.5,0.10803865261186264,0.020111826649588722
4,0.1,93,3.5,95.5,0.2286145065855448,0.023328658264798928
5,0.1,107,8.5,114.5,0.19018982989569258,0.019469436826659723
6,0.1,120,13.5,132.5,0.3750983213227752,0.01927536104630924
7,0.1,131,20.5,150.5,0.17590447421524452,0.022517157461582827
