driver,target,predicted_sl,n_mut,n_wt,mut_mean,wt_mean,cohen_d,rank_biserial_r,p_one_sided,significant
BRCA1,PARP1,True,24,1184,-0.2879,-0.2077,0.5097,0.3117,4.44e-03,True
BRCA1,ATR,False,24,1184,-1.2470,-1.1045,0.4669,0.2665,1.26e-02,True
BRCA2,PARP1,True,41,1167,-0.2618,-0.2074,0.3127,0.1276,8.23e-02,False
BRCA1,CHEK1,False,24,1184,-1.8675,-1.7643,0.2454,0.1415,1.17e-01,False
TP53,CHEK1,True,799,409,-1.7899,-1.7204,0.1788,0.0842,8.26e-03,True
ATM,PARP1,False,36,1172,-0.2331,-0.2086,0.1430,0.0865,1.88e-01,False
BRCA2,CHEK1,False,41,1167,-1.7983,-1.7653,0.0762,0.0060,4.74e-01,False
TP53,WEE1,True,799,409,-2.5947,-2.5604,0.0705,0.0390,1.33e-01,False
BRCA1,WEE1,False,24,1184,-2.6068,-2.5826,0.0502,0.0445,3.54e-01,False
BRCA2,WEE1,False,41,1167,-2.5927,-2.5827,0.0201,0.0172,4.26e-01,False
TP53,ATR,True,799,409,-1.1086,-1.1050,0.0115,0.0129,3.56e-01,False
ATM,CHEK1,True,36,1172,-1.7650,-1.7664,-0.0040,0.0096,4.61e-01,False
BRCA2,ATR,False,41,1167,-1.1058,-1.1074,-0.0058,0.0300,3.72e-01,False
ATM,WEE1,True,36,1172,-2.5455,-2.5842,-0.0827,-0.0496,6.94e-01,False
ATM,ATR,True,36,1172,-1.0669,-1.1086,-0.1229,-0.0079,5.32e-01,False
TP53,PARP1,False,799,409,-0.1900,-0.2469,-0.3578,-0.2122,1.00e+00,False
