scan,value,checkpoint,p_escape,p_elimination,median_time_to_escape,n_reps
f_clonal,0.2,True,1.0,0.0,327.0,300
f_clonal,0.2,False,1.0,0.0,297.5,300
f_clonal,0.4,True,1.0,0.0,335.0,300
f_clonal,0.4,False,1.0,0.0,305.5,300
f_clonal,0.6,True,0.9933333333333333,0.006666666666666667,341.5,300
f_clonal,0.6,False,1.0,0.0,311.5,300
f_clonal,0.8,True,0.9833333333333333,0.016666666666666666,343.5,300
f_clonal,0.8,False,1.0,0.0,316.0,300
f_clonal,1.0,True,0.9533333333333334,0.04666666666666667,347.5,300
f_clonal,1.0,False,1.0,0.0,321.0,300
k_drivers,2,True,1.0,0.0,315.0,300
k_drivers,2,False,1.0,0.0,281.0,300
k_drivers,4,True,1.0,0.0,333.25,300
k_drivers,4,False,1.0,0.0,303.0,300
k_drivers,6,True,0.9866666666666667,0.013333333333333334,339.5,300
k_drivers,6,False,1.0,0.0,314.5,300
k_drivers,8,True,0.9433333333333334,0.056666666666666664,350.5,300
k_drivers,8,False,1.0,0.0,321.5,300
k_drivers,10,True,0.8533333333333334,0.14666666666666667,355.0,300
k_drivers,10,False,1.0,0.0,327.75,300
N0,5,True,0.04,0.96,366.25,300
N0,5,False,1.0,0.0,470.0,300
N0,6,True,0.4066666666666667,0.5933333333333334,375.25,300
N0,6,False,1.0,0.0,367.5,300
N0,7,True,0.9733333333333334,0.02666666666666667,344.5,300
N0,7,False,1.0,0.0,314.0,300
N0,8,True,1.0,0.0,293.0,300
N0,8,False,1.0,0.0,267.5,300
N0,9,True,1.0,0.0,246.0,300
N0,9,False,1.0,0.0,220.5,300
