alpha,p_neo,k,mu,u_escape,p_malignancy,mean_T,median_T,mean_neoantigen,p_escaped,T_ratio_vs_baseline
0.0,0.3,6,0.07,0.005,1.0,85.54372090065431,80.79910716383719,1.80285,0.33821,0.9962737984949882
0.01,0.3,6,0.07,0.005,0.70721,83.51963143264864,78.55476820902535,1.5646978973713608,0.4125507275066812,0.9686005212261348
0.03,0.3,6,0.07,0.005,0.49959,84.25501672965666,79.37278608681312,1.3343341540062852,0.49430533037090413,0.9786868923129824
0.05,0.3,6,0.07,0.005,0.42588,85.43166292850387,80.6654243664476,1.2325772518080211,0.5304545881468958,0.9946254551775465
0.1,0.3,6,0.07,0.005,0.36002,87.57725583364846,82.71920496019911,1.1252985945225265,0.5763568690628298,1.0199490987824587
0.2,0.3,6,0.07,0.005,0.32239,88.91973630841535,83.97764413354197,1.0529172741089985,0.5965445578336797,1.0354659778595867
0.5,0.3,6,0.07,0.005,0.30611,89.99534318346323,85.28425310540479,1.007415634902486,0.6091601058443044,1.0515768029570207
0.0,0.5,6,0.07,0.005,1.0,85.81752322983067,81.06384589284829,2.99698,0.3388,0.9995380951984878
0.01,0.5,6,0.07,0.005,0.56495,82.5200247614321,77.49229136588463,2.7230020355783697,0.46786441277989205,0.9554999081440817
0.03,0.5,6,0.07,0.005,0.33049,84.53985898574034,79.12982049203939,2.509485914853702,0.6282489636600199,0.9756910639615874
0.05,0.5,6,0.07,0.005,0.25944,87.00843816173892,82.26561049362512,2.444187480727721,0.7094511255010792,1.014356162201196
0.1,0.5,6,0.07,0.005,0.20095,89.98203442760962,85.47358165948744,2.3839263498382683,0.7836277681015178,1.0539112727842306
0.2,0.5,6,0.07,0.005,0.17356,92.5643580412529,87.9132400071066,2.34950449412307,0.822827840516248,1.0839928884645136
0.5,0.5,6,0.07,0.005,0.15573,94.32092593794991,89.59811648108469,2.3369935144159766,0.8480703782187119,1.1047678492734405
0.0,0.7,6,0.07,0.005,1.0,85.62537609039138,81.01672383710735,4.2028,0.33855,0.9989570681164591
0.01,0.7,6,0.07,0.005,0.45565,81.56969729600715,76.45746614333144,3.98731482497531,0.5289366838582246,0.9427402466646427
0.03,0.7,6,0.07,0.005,0.23133,86.02904708836367,80.88485744191236,3.895776596204556,0.7645787403276705,0.9973311215058319
0.05,0.7,6,0.07,0.005,0.17858,89.25472872030767,84.72363780661377,3.881005711725837,0.8589987680591331,1.0446642719548105
0.1,0.7,6,0.07,0.005,0.13706,93.58386991039154,89.1001539242732,3.891580329782577,0.9412665985699693,1.0986278427140004
0.2,0.7,6,0.07,0.005,0.11602,94.82052165894669,90.28758283460922,3.909843130494742,0.9685399069126013,1.1132691469618858
0.5,0.7,6,0.07,0.005,0.1028,96.49769675732927,91.41877102545398,3.885408560311284,0.9760700389105058,1.1272169886554877
