lambda_s,cv,competing_mort,peak_age,hazard_at_peak,post_peak_decline_frac,meets_target
0.0,0.0,False,120.5,0.07997627786229561,0.0,False
0.0,0.0,True,120.5,0.07997627786229561,0.0,False
0.0,0.6,False,101.0,0.011256678515765419,0.017297283214490505,False
0.0,0.6,True,101.0,0.011256678515765438,0.017297283214489707,False
0.01,0.0,False,120.5,0.03951696462885191,0.0,False
0.01,0.0,True,120.5,0.03951696462885191,0.0,False
0.01,0.6,False,79.5,0.009054521163442115,0.11113590382077462,False
0.01,0.6,True,79.5,0.009054521163442093,0.11113590382077183,False
0.02,0.0,False,120.5,0.019525671051692405,0.0,False
0.02,0.0,True,120.5,0.019525671051692402,0.0,False
0.02,0.6,False,62.0,0.007844815900240484,0.2883870628831571,False
0.02,0.6,True,62.0,0.007844815900240523,0.28838706288316057,False
0.03,0.0,False,112.0,0.009781072004486734,0.013625349008723014,False
0.03,0.0,True,112.0,0.009781072004486734,0.013625349008723014,False
0.03,0.6,False,50.0,0.007604456107469375,0.5157285352897854,False
0.03,0.6,True,50.0,0.007604456107469378,0.5157285352897847,False
0.04,0.0,False,91.0,0.005885451129188966,0.19002616253290933,True
0.04,0.0,True,91.0,0.005885451129188967,0.19002616253290944,True
0.04,0.6,False,50.0,0.007604456107469375,0.6959424933865795,False
0.04,0.6,True,50.0,0.007604456107469378,0.6959424933865801,False
