node1,node2,penetrance,single1_pen,single2_pen,sl_score,p_noise
RB1,PLK1,1.0000,0.4665,0.4665,0.5335,0.05
BRCA1,PARP1,1.0000,0.5055,0.5025,0.4945,0.05
BRCA1,WRN,1.0000,0.5055,0.5025,0.4945,0.05
BRCA2,PARP1,1.0000,0.5055,0.5025,0.4945,0.05
BRCA2,WRN,1.0000,0.5055,0.5025,0.4945,0.05
TP53,CHK1,1.0000,0.5380,0.5160,0.4620,0.05
TP53,WEE1,1.0000,0.5380,0.4575,0.4620,0.05
ATR,TP53,0.9810,0.5485,0.5380,0.4325,0.05
ATM,ATR,0.9885,0.6565,0.5485,0.3320,0.05
ATM,CHK1,0.9880,0.6565,0.5160,0.3315,0.05
ATM,WEE1,0.9845,0.6565,0.4575,0.3280,0.05
ATR,BRCA1,0.6830,0.5485,0.5055,0.1345,0.05
ATR,BRCA2,0.6830,0.5485,0.5055,0.1345,0.05
ATR,PARP1,0.6750,0.5485,0.5025,0.1265,0.05
ATR,WRN,0.6750,0.5485,0.5025,0.1265,0.05
CHK1,BRCA1,0.6235,0.5160,0.5055,0.1075,0.05
CHK1,BRCA2,0.6235,0.5160,0.5055,0.1075,0.05
CHK1,PARP1,0.6220,0.5160,0.5025,0.1060,0.05
CHK1,WRN,0.6220,0.5160,0.5025,0.1060,0.05
ATR,RB1,0.6360,0.5485,0.4665,0.0875,0.05
ATR,PLK1,0.6360,0.5485,0.4665,0.0875,0.05
TP53,PARP1,0.6250,0.5380,0.5025,0.0870,0.05
TP53,WRN,0.6250,0.5380,0.5025,0.0870,0.05
TP53,BRCA1,0.6225,0.5380,0.5055,0.0845,0.05
TP53,BRCA2,0.6225,0.5380,0.5055,0.0845,0.05
ATM,BRCA1,0.7365,0.6565,0.5055,0.0800,0.05
ATM,BRCA2,0.7365,0.6565,0.5055,0.0800,0.05
BRCA1,RB1,0.5855,0.5055,0.4665,0.0800,0.05
BRCA1,PLK1,0.5855,0.5055,0.4665,0.0800,0.05
BRCA2,RB1,0.5855,0.5055,0.4665,0.0800,0.05
BRCA2,PLK1,0.5855,0.5055,0.4665,0.0800,0.05
PARP1,RB1,0.5810,0.5025,0.4665,0.0785,0.05
PARP1,PLK1,0.5810,0.5025,0.4665,0.0785,0.05
WRN,RB1,0.5810,0.5025,0.4665,0.0785,0.05
WRN,PLK1,0.5810,0.5025,0.4665,0.0785,0.05
ATM,PARP1,0.7330,0.6565,0.5025,0.0765,0.05
ATM,WRN,0.7330,0.6565,0.5025,0.0765,0.05
CHK1,RB1,0.5820,0.5160,0.4665,0.0660,0.05
CHK1,PLK1,0.5820,0.5160,0.4665,0.0660,0.05
WEE1,RB1,0.5320,0.4575,0.4665,0.0655,0.05
WEE1,PLK1,0.5320,0.4575,0.4665,0.0655,0.05
TP53,RB1,0.5970,0.5380,0.4665,0.0590,0.05
TP53,PLK1,0.5970,0.5380,0.4665,0.0590,0.05
WEE1,BRCA1,0.5640,0.4575,0.5055,0.0585,0.05
WEE1,BRCA2,0.5640,0.4575,0.5055,0.0585,0.05
ATM,RB1,0.7135,0.6565,0.4665,0.0570,0.05
ATM,PLK1,0.7135,0.6565,0.4665,0.0570,0.05
WEE1,PARP1,0.5590,0.4575,0.5025,0.0565,0.05
WEE1,WRN,0.5590,0.4575,0.5025,0.0565,0.05
ATR,CHK2,0.5950,0.5485,0.3705,0.0465,0.05
PARP1,WRN,0.5205,0.5025,0.5025,0.0180,0.05
BRCA1,BRCA2,0.5205,0.5055,0.5055,0.0150,0.05
CHK2,WEE1,0.4690,0.3705,0.4575,0.0115,0.05
TP53,CHK2,0.5435,0.5380,0.3705,0.0055,0.05
CHK1,CHK2,0.5210,0.5160,0.3705,0.0050,0.05
CHK2,BRCA1,0.5060,0.3705,0.5055,0.0005,0.05
CHK2,BRCA2,0.5060,0.3705,0.5055,0.0005,0.05
ATM,TP53,0.6160,0.6565,0.5380,0.0000,0.05
ATM,CHK2,0.6100,0.6565,0.3705,0.0000,0.05
ATR,CHK1,0.5140,0.5485,0.5160,0.0000,0.05
ATR,WEE1,0.5195,0.5485,0.4575,0.0000,0.05
CHK1,WEE1,0.4535,0.5160,0.4575,0.0000,0.05
CHK2,PARP1,0.4950,0.3705,0.5025,0.0000,0.05
CHK2,WRN,0.4950,0.3705,0.5025,0.0000,0.05
CHK2,RB1,0.4615,0.3705,0.4665,0.0000,0.05
CHK2,PLK1,0.4615,0.3705,0.4665,0.0000,0.05
